titre,nom,date,dimensions,matériau,lieu,image
"Isabella Whispering, 2016",Isabella Whispering,2016,220 x 73 x 110 cm,Marble,"Private Collection, Tokyo, Japan",https://jaumeplensa.com/gestorPlensa/images/entradas/entrada-40/70-isabella-whispering.jpg
"Sanna, 2016",Sanna,2016,1200 x 440 x 362 cm,Polyester resin and marble dust,"Collection The Donum Estate, Sonoma, California, USA",https://jaumeplensa.com/gestorPlensa/images/entradas/entrada-40/86-Sanna-napa.jpg
"East Pacific's Soul, 2016",East Pacific's Soul,2016,300 x 223 x 225 cm,Stainless steel,"Private Collection, Japan",https://jaumeplensa.com/gestorPlensa/images/entradas/entrada-40/70-east-pacific-soul_tokyo.JPG
"White Forest (Isabella), 2015",White Forest (Isabella),2015,198 x 88 x 96 cm,"Bronze, Ed. of 5",Private Collection,https://jaumeplensa.com/gestorPlensa/images/entradas/entrada-40/84_White-Forest-Isabella.jpg
"Anna, 2015",Anna,2015,1400 x 430 x 570 cm,Polyester resin and marble dust,"Pilane Heritage Museum, Klövedal, Sweden",https://jaumeplensa.com/gestorPlensa/images/entradas/entrada-40/83_anna-pilane.jpg
"Luzma, 2015",Luzma,2015,1000 x 678 x 850 cm,Stainless steel,"Private Collection, Mexico",https://jaumeplensa.com/gestorPlensa/images/entradas/entrada-40/82_luzma-mexico.JPG
"Mirall, 2015",Mirall,2015,377 x 235 x 245 cm each,Painted stainless steel,"Allen Institute for Artificial Intelligence, Seattle, Washington, USA",https://jaumeplensa.com/gestorPlensa/images/entradas/entrada-40/mirall_allen-institute.jpg
"Self-portrait, 2013",Self-portrait,2013,325 x 350 x 350 cm,Stainless steel,"Installation view at Human Landscape. Cheekwood Estate &amp; Gardens, Nashville, Tennessee, USA 2015",https://jaumeplensa.com/gestorPlensa/images/entradas/entrada-40/80_Selfportrait_nashville.jpg
"Duna, 2014",Duna,2014,700 x 280 x 86 cm,Cast iron,"Collection Erasmus MC, Rotterdam, Netherlands",https://jaumeplensa.com/gestorPlensa/images/entradas/entrada-40/Duna_rotterdam.jpg
"Mist, 2014",Mist,2014,525 x 531 x 421 cm,Stainless steel,"Installation view at Together. Collateral Event of the 56th International Venice Biennale, Basilica di San Giorgio Maggiore, Venice, Italy 2015. Private Collection, USA",https://jaumeplensa.com/gestorPlensa/images/entradas/entrada-40/72-Mist-venice.jpg
"Awilda & Irma, 2014",Awilda & Irma,2014,400 x 400 x 300 cm each,Stainless steel,"Installation view at Human Landscape. Cheekwood Estate &amp; Gardens, Nashville, Tennessee, USA 2015. Private Collection, USA",https://jaumeplensa.com/gestorPlensa/images/entradas/entrada-40/69-Awilda-Irma-Nashville.jpg
"Duna, 2014",Duna,2014,700 x 280 x 86 cm,Cast iron,"Installation view at Artzuid. International Sculpture Route, Amsterdam, Netherlands 2015. Collection Erasums MC, Rotterdam, Netherlands",https://jaumeplensa.com/gestorPlensa/images/entradas/entrada-40/76_duna-artzuid.jpg
"Laura, 2013 and Awilda, 2014","Laura, 2013 and Awilda",2014,215 x 71 x 70 cm / 201 x 75 x 70 cm,Basalt,"Palm Springs Art Museum, California, USA",https://jaumeplensa.com/gestorPlensa/images/entradas/entrada-40/75_Awilda-Laura-palm-springs.jpg
"Rui Rui, 2014",Rui Rui,2014,450 x 205 x 66 cm,Cast iron,"Private Collection, USA",https://jaumeplensa.com/gestorPlensa/images/entradas/entrada-40/74_rui-rui-santafe.JPG
"Inés, 2013",Inés,2013,703 x 255 x 87 cm,Cast iron,"Harvard Business School, Boston, Massachusetts, USA",https://jaumeplensa.com/gestorPlensa/images/entradas/entrada-40/67-Ines-harvard.jpg
"Paula, 2013",Paula,2013,703 x 255 x 98 cm,Cast iron,"The Toledo Museum of Art, Toledo, Ohio, USA",https://jaumeplensa.com/gestorPlensa/images/entradas/entrada-40/PaulaPlensaToledoMuseum.jpg
"Rui Rui, 2013",Rui Rui,2013,703 x 320 x 92 cm,Cast iron,"Glasstress White Light / White Heat. Palazzo Cavalli-Franchetti, Collateral Event of the 55th Venice Biennale, Italy 2013. Collection The Flag Art Foundation, New York, USA",https://jaumeplensa.com/gestorPlensa/images/entradas/entrada-40/RuiRui%20venezia%20FA1.jpg
"Memoria, 2013",Memoria,2013,400 x 247 x 283 cm,Stainless steel,"Double Cove Collection, Hong Kong",https://jaumeplensa.com/gestorPlensa/images/entradas/entrada-40/4-Memoria1.JPG
"Earth and Fire, 2012",Earth and Fire,2012,8 meter high each,"Polyester resin, stainless steel and light","Installation view at Poets in Miami. Art Public-Art Basel, Collins Park, Miami, USA 2012",https://jaumeplensa.com/gestorPlensa/images/entradas/entrada-40/D93K6517%20GRAN.jpg
"Awilda in Bamberg, 2012",Awilda in Bamberg,2012,201 x 146 x 48 cm,Marble," Installation view at Bamberg Cathedral, Bamberg, Germany 2012",https://jaumeplensa.com/gestorPlensa/images/entradas/entrada-40/14-AwildainBamberg1.jpg
"Kneeled Shadow II, 2009",Kneeled Shadow II,2009,230 x 180 x 230 cm,Stainless steel and stone,"Installation view at Skulptur i Pilane 2012. Klövedal, Sweden 2012. Private Collection, USA",https://jaumeplensa.com/gestorPlensa/images/entradas/entrada-40/58-kneeleg-shadow-II_pilane.JPG
"House of Knowledge, 2008",House of Knowledge,2008,800 x 550 x 530 cm,Painted stainless steel,"Installation view at Beyond Limits. Sotheby's at Chatsworth, Derbyshire, UK 2008. Collection Textile Fashion Center, Borås, Sweden",https://jaumeplensa.com/gestorPlensa/images/entradas/entrada-40/21-Jaume%20Plensa_5.jpg
"Twentynine Palms, 2007",Twentynine Palms,2007,29 elements of variable dimensions,Stainless steel,"Collection Umeå University Library, Umeå, Sweden",https://jaumeplensa.com/gestorPlensa/images/entradas/entrada-40/69-twentynine-palms_umea.jpg
"House of Knowledge, 2008",House of Knowledge,2008,800 x 550 x 530 cm,Stainless steel,"Installation view at Kiev Sculpture Project, Kiev, Ukraine 2012. Collection Textile Fashion Center, Borås, Sweden",https://jaumeplensa.com/gestorPlensa/images/entradas/entrada-40/57-hok-kiev.jpg
"Twentynine Palms, 2007",Twentynine Palms,2007,variable dimensions,Stainless steel,"Installation view at Umedalen Skulptur, Focus on Jaume Plensa. Umeå, Sweden 2012. Collection Umeå University Library, Sweden",https://jaumeplensa.com/gestorPlensa/images/entradas/entrada-40/51-twentynine-palms-umea.jpg
"The Heart of Trees III, 2007",The Heart of Trees III,2007,7 elements of variable x 66 x 99 cm,Bronze,"Installation view at Shanghai Biennale 2012, Shanghai, China",https://jaumeplensa.com/gestorPlensa/images/entradas/entrada-40/16-IMG_3258.JPG
"Humming, 2011",Humming,2011,250 x 94 x 111 cm,Marble and lead,"Collection DeCordova Sculpture Park &amp; Museum, Massachusetts, USA",https://jaumeplensa.com/gestorPlensa/images/entradas/entrada-40/18-DSC05386.jpg
"Awilda and Chloe, 2011",Awilda and Chloe,2011,300 x 82 x 104 cm / 300 x 84 x 108 cm,Marble,"Grand Hyatt New York, New York, USA",https://jaumeplensa.com/gestorPlensa/images/entradas/entrada-40/15-IMG_5122.jpg
"La Llarga Nit (Blind), 2010",La Llarga Nit (Blind),2010,1200 x 148 x 205 cm,"Polyester resin, stainless steel and light","Installation view at Yorkshire Sculpture Park, Wakefield, UK 2011",https://jaumeplensa.com/gestorPlensa/images/entradas/entrada-40/LLN%20side%20pink.jpg
"The Heart of Trees, 2007",The Heart of Trees,2007,7 elements of variable x 66 x 99 cm,Bronze and tree,"Installation view at Yorkshire Sculpture Park, Wakefield, UK 2011",https://jaumeplensa.com/gestorPlensa/images/entradas/entrada-40/IMG_3993bis.jpg
"Soul XII, 2010",Soul XII,2010,290 x 190 x 225 cm,Stainless steel and stone,"Private Collection, Cabo San Lucas, México ",https://jaumeplensa.com/gestorPlensa/images/entradas/entrada-40/JW_LosCabos_2015_WireSculpture%2014.jpg
"Nuria, 2007 & Irma, 2010","Nuria, 2007 & Irma",2010,400 x 400 x 300 / 400 x 290 x 390 cm,Stainless steel,"Private Collection, Boston, Massachusetts, USA",https://jaumeplensa.com/gestorPlensa/images/entradas/entrada-40/a_Nuria_Irma1.jpg
"Spiegel I and II, 2010",Spiegel I and II,2010,377 x 235 x 245 cm each,Painted stainless steel,"Collection The Toledo Museum of Art, Toledo, Ohio, USA",https://jaumeplensa.com/gestorPlensa/images/entradas/entrada-40/10-SpiegelTMPhRichard%20Goodbody.jpg
"Even Shetia, 2010",Even Shetia,2010,variable dimensions,Stone and light,"Towada Art Center, Aomori, Japan. Commissioned by Arts Towada / Fumio Nanjo &amp; Ass. 2010",https://jaumeplensa.com/gestorPlensa/images/entradas/entrada-40/even-shetia3_sadao-hotta.jpg
"Dialogue, 2009",Dialogue,2009,243 x 200 x 155 cm / 230 x 214 x 173 cm,"Polyester resin, stainless steel, light and marble pebbles","Collection Copperhill Mountain Lodge, Åre, Sweden",https://jaumeplensa.com/gestorPlensa/images/entradas/entrada-40/19-PH%20by%20JonasKullman.jpg
"We, 2008",We,2008,500 x 360 x 340 cm,Painted stainless steel,"Installation view at Transparency. Prague, Czech Republic 2009. Collection Würth Kunsthalle, Germany",https://jaumeplensa.com/gestorPlensa/images/entradas/entrada-40/13-FTT_CF003838.jpg
"Jerusalem, 2006",Jerusalem,2006,130 cm diameter each,"Bronze, rope, wood and wool, 9 pairs of gongs","Installation view at Espacio Cultural El Tanque, Tenerife, Canary Islands, Spain 2009",https://jaumeplensa.com/gestorPlensa/images/entradas/entrada-40/Jerusalem%20Tanque.jpg
"White Head, 2008",White Head,2008,240 x 145 x 200 cm,Painted stainless steel,"Collection Crosby Street Hotel, New York, USA",https://jaumeplensa.com/gestorPlensa/images/entradas/entrada-40/26-white-Head.jpg
"Nuria II, 2008",Nuria II,2008,172 x 84 x 115 cm,Alabaster,,https://jaumeplensa.com/gestorPlensa/images/entradas/entrada-40/28-Nuria-II-oscar.jpg
"Where?, 2008",Where?,2008,100 x 75 x 100 cm,Bronze and tree,"Installation view at Mimmo Scognamiglio Artecontemporanea, Milan, Italy 2008",https://jaumeplensa.com/gestorPlensa/images/entradas/entrada-40/23-65-Where.jpg
