titre,description,lieu,image
"Silencio, 2018","Polyester resin, marble dust and stainless steel, 1560 x 245 x 190 cm","Collection Fundación María Cristina Masaveu Peterson, Madrid, Spain",https://jaumeplensa.com/gestorPlensa/images/entradas/entrada-40/94_silencio-masaveu.jpg
"Carlota, 2017","Cast iron, 700 x 287 x 93 cm","Installation view at Sculpture in the Courtyard. Hermitage Museum, St. Petersburg, Russia 2019",https://jaumeplensa.com/gestorPlensa/images/entradas/entrada-40/83_carlota-hermitage.jpg
"Voices, 2017","Stainless steel, 11 elements of variable dimensions","30 Hudson Yards, New York, USA",https://jaumeplensa.com/gestorPlensa/images/entradas/entrada-40/97_voices_new-york.jpg
"Self-portrait with Music, 2018","Corten iron, 325 cm ø","Installation view at MACBA-Museu d'Art Contemporani de Barcelona, Spain 2018",https://jaumeplensa.com/gestorPlensa/images/entradas/entrada-40/63-Selfportrait-music-macba.jpg
"Les trois alchimistes, 2018","Bronze, 3 elements: 430 x 142 x 145 cm / 431 x 149 x 141 cm / 429 x 149 x 156 cm","Fondation Carmignac, Porquerolles, France",https://jaumeplensa.com/gestorPlensa/images/entradas/entrada-40/94_trois-alchimistes.jpg
"Source, 2017","Painted stainless steel, 1000 x 699 x 735 cm","Bonaventure Gateway, Montreal, Canada",https://jaumeplensa.com/gestorPlensa/images/entradas/entrada-40/93_source_montreal.jpg
"Mar Whispering, 2017","Marble, 250 x 87 x 107 cm","Collection At Six Hotel, Stockholm, Sweden",https://jaumeplensa.com/gestorPlensa/images/entradas/entrada-40/73-mar-whispering_at-six.jpg
"Lou, 2017","Marble, 274 x 92 x 121 cm","Private Collection, Belgium",https://jaumeplensa.com/gestorPlensa/images/entradas/entrada-40/88-lou-brussels.jpg
"Ainsa VI, 2017 (detail)","Stainless steel and stone, 348 x 234 x 365 cm","Collection Artipelag, Gustavsberg, Stockholm, Sweden",https://jaumeplensa.com/gestorPlensa/images/entradas/entrada-40/92_ainsaVI-artipelag.JPG
"Ainsa VI, 2017","Stainless steel and stone, 348 x 234 x 365 cm","Collection Artipelag, Gustavsberg, Stockholm, Sweden",https://jaumeplensa.com/gestorPlensa/images/entradas/entrada-40/91_ainsaVI-artipelag.JPG
"Ainsa VI, 2017","Stainless steel and stone, 348 x 234 x 365 cm","Collection Artipelag, Gustavsberg, Stockholm, Sweden",https://jaumeplensa.com/gestorPlensa/images/entradas/entrada-40/66-ainsaVI-artipelag.JPG
"Ainsa V, 2017","Stainless steel and stone, 362 x 216 x 329 cm","Private Collection, Virginia, USA",https://jaumeplensa.com/gestorPlensa/images/entradas/entrada-40/67-ainsa-V_virginia.jpg
"Sinfín III, 2017","Painted stainless steel, 164 x 130 x 150 cm","Private Collection, Cabo San Lucas, México",https://jaumeplensa.com/gestorPlensa/images/entradas/entrada-40/69-sinfin-iii-mexico.jpg
"Isabella Whispering, 2016","Marble, 220 x 73 x 110 cm","Private Collection, Tokyo, Japan",https://jaumeplensa.com/gestorPlensa/images/entradas/entrada-40/70-isabella-whispering.jpg
"Sanna, 2016","Polyester resin and marble dust, 1200 x 440 x 362 cm","Collection The Donum Estate, Sonoma, California, USA",https://jaumeplensa.com/gestorPlensa/images/entradas/entrada-40/86-Sanna-napa.jpg
"East Pacific's Soul, 2016","Stainless steel, 300 x 223 x 225 cm","Private Collection, Japan",https://jaumeplensa.com/gestorPlensa/images/entradas/entrada-40/70-east-pacific-soul_tokyo.JPG
"White Forest (Isabella), 2015","Bronze, Ed. of 5, 198 x 88 x 96 cm",Private Collection,https://jaumeplensa.com/gestorPlensa/images/entradas/entrada-40/84_White-Forest-Isabella.jpg
"Anna, 2015","Polyester resin and marble dust, 1400 x 430 x 570 cm","Pilane Heritage Museum, Klövedal, Sweden",https://jaumeplensa.com/gestorPlensa/images/entradas/entrada-40/83_anna-pilane.jpg
"Luzma, 2015","Stainless steel, 1000 x 678 x 850 cm","Private Collection, Mexico",https://jaumeplensa.com/gestorPlensa/images/entradas/entrada-40/82_luzma-mexico.JPG
"Mirall, 2015","Painted stainless steel, 377 x 235 x 245 cm each","Allen Institute for Artificial Intelligence, Seattle, Washington, USA",https://jaumeplensa.com/gestorPlensa/images/entradas/entrada-40/mirall_allen-institute.jpg
"Self-portrait, 2013","Stainless steel, 325 x 350 x 350 cm","Installation view at Human Landscape. Cheekwood Estate &amp; Gardens, Nashville, Tennessee, USA 2015",https://jaumeplensa.com/gestorPlensa/images/entradas/entrada-40/80_Selfportrait_nashville.jpg
"Duna, 2014","Cast iron, 700 x 280 x 86 cm","Collection Erasmus MC, Rotterdam, Netherlands",https://jaumeplensa.com/gestorPlensa/images/entradas/entrada-40/Duna_rotterdam.jpg
"Mist, 2014","Stainless steel, 525 x 531 x 421 cm","Installation view at Together. Collateral Event of the 56th International Venice Biennale, Basilica di San Giorgio Maggiore, Venice, Italy 2015. Private Collection, USA",https://jaumeplensa.com/gestorPlensa/images/entradas/entrada-40/72-Mist-venice.jpg
"Awilda &amp; Irma, 2014","Stainless steel, 400 x 400 x 300 cm each","Installation view at Human Landscape. Cheekwood Estate &amp; Gardens, Nashville, Tennessee, USA 2015. Private Collection, USA",https://jaumeplensa.com/gestorPlensa/images/entradas/entrada-40/69-Awilda-Irma-Nashville.jpg
"Duna, 2014","Cast iron, 700 x 280 x 86 cm","Installation view at Artzuid. International Sculpture Route, Amsterdam, Netherlands 2015. Collection Erasums MC, Rotterdam, Netherlands",https://jaumeplensa.com/gestorPlensa/images/entradas/entrada-40/76_duna-artzuid.jpg
"Laura, 2013 and Awilda, 2014","Basalt, 215 x 71 x 70 cm / 201 x 75 x 70 cm","Palm Springs Art Museum, California, USA",https://jaumeplensa.com/gestorPlensa/images/entradas/entrada-40/75_Awilda-Laura-palm-springs.jpg
"Rui Rui, 2014","Cast iron, 450 x 205 x 66 cm","Private Collection, USA",https://jaumeplensa.com/gestorPlensa/images/entradas/entrada-40/74_rui-rui-santafe.JPG
"Inés, 2013","Cast iron, 703 x 255 x 87 cm","Harvard Business School, Boston, Massachusetts, USA",https://jaumeplensa.com/gestorPlensa/images/entradas/entrada-40/67-Ines-harvard.jpg
"Paula, 2013","Cast iron, 703 x 255 x 98 cm","The Toledo Museum of Art, Toledo, Ohio, USA",https://jaumeplensa.com/gestorPlensa/images/entradas/entrada-40/PaulaPlensaToledoMuseum.jpg
"Rui Rui, 2013","Cast iron, 703 x 320 x 92 cm","Glasstress White Light / White Heat. Palazzo Cavalli-Franchetti, Collateral Event of the 55th Venice Biennale, Italy 2013. Collection The Flag Art Foundation, New York, USA",https://jaumeplensa.com/gestorPlensa/images/entradas/entrada-40/RuiRui%20venezia%20FA1.jpg
"Memoria, 2013"," Stainless steel, 400 x 247 x 283 cm","Double Cove Collection, Hong Kong",https://jaumeplensa.com/gestorPlensa/images/entradas/entrada-40/4-Memoria1.JPG
"Earth and Fire, 2012","Polyester resin, stainless steel and light, 8 meter high each","Installation view at Poets in Miami. Art Public-Art Basel, Collins Park, Miami, USA 2012",https://jaumeplensa.com/gestorPlensa/images/entradas/entrada-40/D93K6517%20GRAN.jpg
"Awilda in Bamberg, 2012"," Marble, 201 x 146 x 48 cm"," Installation view at Bamberg Cathedral, Bamberg, Germany 2012",https://jaumeplensa.com/gestorPlensa/images/entradas/entrada-40/14-AwildainBamberg1.jpg
"Kneeled Shadow II, 2009","Stainless steel and stone, 230 x 180 x 230 cm","Installation view at Skulptur i Pilane 2012. Klövedal, Sweden 2012. Private Collection, USA",https://jaumeplensa.com/gestorPlensa/images/entradas/entrada-40/58-kneeleg-shadow-II_pilane.JPG
